Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10nF","C_0603_1608Metric",124.105000,-83.660000,-90.000000,bottom
"C2","470pF","C_0603_1608Metric",125.605000,-83.720000,-90.000000,bottom
"J1","SAO","IDC-TH_6P-P2.54_DS1013-06SSIB1-B-0",155.300000,-86.660000,0.000000,bottom
"LED1","~","LED-SMD_4P_SK6812D-EC3210R",193.080000,-81.780000,-90.000000,bottom
"LED2","~","LED-SMD_4P_SK6812D-EC3210R",167.651091,-82.852132,45.000000,bottom
"LED3","~","LED-SMD_4P_SK6812D-EC3210R",144.491612,-82.248389,-45.000000,bottom
"LED4","~","LED-SMD_4P_SK6812D-EC3210R",129.547129,-73.529257,15.000000,bottom
"U1","~","SOT-23-6",124.105000,-80.085000,-90.000000,bottom
